,year,week,Home_Team,Away_Team,Home_Win,Home_Fav,Home_Vegas_Spread,Home_Actual_Spread,Home_Score,Away_Score,Trail_Home_Score,Trail_Away_Score,Home_Allowed,Away_Allowed,Home_TO,Away_TO,Home_FTO,Away_FTO,Home_Pass_Eff,Away_Pass_Eff,Home_Pass_Def,Away_Pass_Def,Home_Rush_Eff,Away_Rush_Eff,Home_Rush_Def,Away_Rush_Def,Home_Pen_Yds,Away_Pen_Yds,Home_Pen_Yds_Agg,Away_Pen_Yds_Agg,Home_Third_Eff,Away_Third_Eff,Home_Third_Def,Away_Third_Def,Home_Fourth_Eff,Away_Fourth_Eff,Home_Fourth_Def,Away_Fourth_Def,boxscore_url
0,2009,1,crd,sfo,L,1,-4.5,4.0,16.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/boxscores/200909130crd.htm
1,2009,2,jax,crd,L,1,-3.0,14.0,17.0,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/boxscores/200909200jax.htm
2,2009,3,crd,clt,L,1,-3.0,21.0,10.0,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/boxscores/200909270crd.htm
3,2009,5,crd,htx,W,1,-6.0,-7.0,28.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/boxscores/200910110crd.htm
4,2009,6,sea,crd,L,1,-3.0,24.0,3.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/boxscores/200910180sea.htm
5,2009,7,nyg,crd,L,1,-8.0,7.0,17.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/boxscores/200910250nyg.htm
6,2009,8,crd,car,L,1,-10.0,13.0,21.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/boxscores/200911010crd.htm
7,2009,9,chi,crd,L,1,-3.0,20.0,21.0,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/boxscores/200911080chi.htm
8,2009,10,crd,sea,W,1,-8.5,-11.0,31.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/boxscores/200911150crd.htm
9,2009,11,ram,crd,L,-1,9.0,8.0,13.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/boxscores/200911220ram.htm
