year,team,verbose_name,week,day,boxscore_url,time,boxscore_text,result,OT,record,at,opponent,team_score,opp_score,off_first_downs,off_total_yds,off_pass_yds,off_rush_yds,off_turn_overs,def_first_downs,def_total_yds,def_pass_yds,def_rush_yds,def_turn_overs,off_exp_pts,def_exp_pts,specialTm_exp_pts,Won_Toss,Roof,Surface,Vegas_Line_Close,O/U_Line,O/U_Result,aFirst_Downs,hFirst_Downs,aRush-Yds-Tds,hRush-Yds-Tds,aCmp-Att-Yd-TD-INT,hCmp-Att-Yd-TD-INT,aSacked-Yds,hSacked-Yds,aNet_Pass_Yds,hNet_Pass_Yds,aTotal_Yds,h_Total_Yds,aFumbles-Lost,hFumbles-Lost,aTurnovers,hTurnovers,aPenalties-Yds,h-Penalties-Yds,aThird_Down_Conv,hThird_Down_Conv,aFourth_Down_Conv,hFourth_Down_Conv,aTime_of_Possesion,hTime_of_Possesion
2022,nor,New Orleans Saints,1,,B,,,,,,@,Atlanta Falcons,,,,,,,,,,,,,,,,,,,New Orleans Saints -5.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
2022,nyg,New York Giants,1,,O,,,,,,@,Tennessee Titans,,,,,,,,,,,,,,,,,,,Tennessee Titans -6.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
2022,nyj,New York Jets,1,,C,,,,,,,Baltimore Ravens,,,,,,,,,,,,,,,,,,,Baltimore Ravens -6.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
2022,rai,Las Vegas Raiders,1,,P,,,,,,@,Los Angeles Chargers,,,,,,,,,,,,,,,,,,,Los Angeles Chargers -3.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
2022,phi,Philadelphia Eagles,1,,J,,,,,,@,Detroit Lions,,,,,,,,,,,,,,,,,,,Philadelphia Eagles -3.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
2022,pit,Pittsburgh Steelers,1,,G,,,,,,@,Cincinnati Bengals,,,,,,,,,,,,,,,,,,,Cincinatti Bengals -6.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
2022,sdg,Los Angeles Chargers,1,,P,,,,,,,Las Vegas Raiders,,,,,,,,,,,,,,,,,,,Los Angeles Chargers -3.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
2022,sfo,San Francisco 49ers,1,,F,,,,,,@,Chicago Bears,,,,,,,,,,,,,,,,,,,San Francisco 49ers -6.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
2022,sea,Seattle Seahawks,1,,I,,,,,,,Denver Broncos,,,,,,,,,,,,,,,,,,,Denver Broncos -6.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
2022,ram,Los Angeles Rams,1,,D,,,,,,,Buffalo Bills,,,,,,,,,,,,,,,,,,,Buffalo Bills -2.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
2022,tam,Tampa Bay Buccaneers,1,,H,,,,,,@,Dallas Cowboys,,,,,,,,,,,,,,,,,,,Tampa Bay Buccaneers -1.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
2022,oti,Tennessee Titans,1,,O,,,,,,,New York Giants,,,,,,,,,,,,,,,,,,,Tennessee Titans -6.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
2022,was,Washington Redskins,1,,M,,,,,,,Jacksonville Jaguars,,,,,,,,,,,,,,,,,,,Washington Redskins -3.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
