,base_estimator__criterion,base_estimator__max_depth,base_estimator__max_features,learning_rate,loss,n_estimators,random_state,0
33,squared_error,5,sqrt,5e-05,square,2000,88,-13.510408333301452
34,squared_error,5,sqrt,5e-05,square,2500,88,-13.510594614964953
35,squared_error,5,sqrt,0.0001,square,500,88,-13.504935423018301
36,squared_error,5,sqrt,0.0001,square,1000,88,-13.511433254586768
37,squared_error,5,sqrt,0.0001,square,1500,88,-13.509371852151707
38,squared_error,5,sqrt,0.0001,square,2000,88,-13.5088540990333
39,squared_error,5,sqrt,0.0001,square,2500,88,-13.510595137433532
40,squared_error,5,sqrt,0.0002,square,500,88,-13.51105895611939
41,squared_error,5,sqrt,0.0002,square,1000,88,-13.51149632278243
42,squared_error,5,sqrt,0.0002,square,1500,88,-13.509552908639662
43,squared_error,5,sqrt,0.0002,square,2000,88,-13.50869300333322
44,squared_error,5,sqrt,0.0002,square,2500,88,-13.508669183590417
45,squared_error,6,sqrt,5e-05,square,500,88,-13.476053726911436
46,squared_error,6,sqrt,5e-05,square,1000,88,-13.480473105494756
47,squared_error,6,sqrt,5e-05,square,1500,88,-13.478913657271965
48,squared_error,6,sqrt,5e-05,square,2000,88,-13.479023281015182
49,squared_error,6,sqrt,5e-05,square,2500,88,-13.48080068422079
50,squared_error,6,sqrt,0.0001,square,500,88,-13.466636397572131
51,squared_error,6,sqrt,0.0001,square,1000,88,-13.474854454181408
52,squared_error,6,sqrt,0.0001,square,1500,88,-13.47734379411492
53,squared_error,6,sqrt,0.0001,square,2000,88,-13.477854133597916
54,squared_error,6,sqrt,0.0001,square,2500,88,-13.478303610663161
55,squared_error,6,sqrt,0.0002,square,500,88,-13.47321359943324
56,squared_error,6,sqrt,0.0002,square,1000,88,-13.476828019316505
57,squared_error,6,sqrt,0.0002,square,1500,88,-13.475675649227279
58,squared_error,6,sqrt,0.0002,square,2000,88,-13.474306434937066
59,squared_error,6,sqrt,0.0002,square,2500,88,-13.474953119414982
60,squared_error,7,sqrt,5e-05,square,500,88,-13.458940905813273
61,squared_error,7,sqrt,5e-05,square,1000,88,-13.456892354772162
62,squared_error,7,sqrt,5e-05,square,1500,88,-13.45538739947846
63,squared_error,7,sqrt,5e-05,square,2000,88,-13.455466908387303
64,squared_error,7,sqrt,5e-05,square,2500,88,-13.456148388605106
65,squared_error,7,sqrt,0.0001,square,500,88,-13.45825026838981
66,squared_error,7,sqrt,0.0001,square,1000,88,-13.459569557193706
67,squared_error,7,sqrt,0.0001,square,1500,88,-13.458924261300899
68,squared_error,7,sqrt,0.0001,square,2000,88,-13.460584383643953
69,squared_error,7,sqrt,0.0001,square,2500,88,-13.461995646110921
70,squared_error,7,sqrt,0.0002,square,500,88,-13.464264249053366
71,squared_error,7,sqrt,0.0002,square,1000,88,-13.46392677420394
72,squared_error,7,sqrt,0.0002,square,1500,88,-13.460079526365941
73,squared_error,7,sqrt,0.0002,square,2000,88,-13.460044690672078
74,squared_error,7,sqrt,0.0002,square,2500,88,-13.462207100093178
75,squared_error,8,sqrt,5e-05,square,500,88,-13.451759876384745
76,squared_error,8,sqrt,5e-05,square,1000,88,-13.450048715982964
77,squared_error,8,sqrt,5e-05,square,1500,88,-13.453917296357464
