year,team,verbose_name,week,day,boxscore_url,time,boxscore_text,result,OT,record,at,opponent,team_score,opp_score,off_first_downs,off_total_yds,off_pass_yds,off_rush_yds,off_turn_overs,def_first_downs,def_total_yds,def_pass_yds,def_rush_yds,def_turn_overs,off_exp_pts,def_exp_pts,specialTm_exp_pts,Won_Toss,Roof,Surface,Vegas_Line_Close,O/U_Line,O/U_Result,aFirst_Downs,hFirst_Downs,aRush-Yds-Tds,hRush-Yds-Tds,aCmp-Att-Yd-TD-INT,hCmp-Att-Yd-TD-INT,aSacked-Yds,hSacked-Yds,aNet_Pass_Yds,hNet_Pass_Yds,aTotal_Yds,h_Total_Yds,aFumbles-Lost,hFumbles-Lost,aTurnovers,hTurnovers,aPenalties-Yds,h-Penalties-Yds,aThird_Down_Conv,hThird_Down_Conv,aFourth_Down_Conv,hFourth_Down_Conv,aTime_of_Possesion,hTime_of_Possesion
2022,oti,Tennessee Titans,17,Thu,A,05:15:00,,,,,,Dallas Cowboys,,,,,,,,,,,,,,,,,,,Dallas Cowboys -9.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
2022,rai,Las Vegas Raiders,17,Sun,K,01:05:00,,,,,,San Francisco 49ers,,,,,,,,,,,,,,,,,,,San Francisco 49ers -5.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
2022,sea,Seattle Seahawks,17,Sun,L,01:05:00,,,,,,New York Jets,,,,,,,,,,,,,,,,,,,New York Jets -2.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
2022,gnb,Green Bay Packers,17,Sun,M,01:25:00,,,,,,Minnesota Vikings,,,,,,,,,,,,,,,,,,,Green Bay Packers -3.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
2022,sdg,Los Angeles Chargers,17,Sun,N,01:25:00,,,,,,Los Angeles Rams,,,,,,,,,,,,,,,,,,,Los Angeles Chargers -6.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
2022,rav,Baltimore Ravens,17,Sun,O,05:20:00,,,,,,Pittsburgh Steelers,,,,,,,,,,,,,,,,,,,Baltimore Ravens -3.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
2022,atl,Atlanta Falcons,17,Sun,B,10:00:00,,,,,,Arizona Cardinals,,,,,,,,,,,,,,,,,,,Atlanta Falcons -3.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
2022,det,Detroit Lions,17,Sun,C,10:00:00,,,,,,Chicago Bears,,,,,,,,,,,,,,,,,,,Detroit Lions -5.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
2022,kan,Kansas City Chiefs,17,Sun,D,10:00:00,,,,,,Denver Broncos,,,,,,,,,,,,,,,,,,,Kansas City Chiefs -13.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
2022,nwe,New England Patriots,17,Sun,E,10:00:00,,,,,,Miami Dolphins,,,,,,,,,,,,,,,,,,,New England Patriots -2.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
2022,nyg,New York Giants,17,Sun,F,10:00:00,,,,,,Indianapolis Colts,,,,,,,,,,,,,,,,,,,New York Giants -4.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
2022,phi,Philadelphia Eagles,17,Sun,G,10:00:00,,,,,,New Orleans Saints,,,,,,,,,,,,,,,,,,,Philadelphia Eagles -6.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
2022,tam,Tampa Bay Buccaneers,17,Sun,H,10:00:00,,,,,,Carolina Panthers,,,,,,,,,,,,,,,,,,,Tampa Bay Buccaneers -2.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
2022,was,Washington Redskins,17,Sun,I,10:00:00,,,,,,Cleveland Browns,,,,,,,,,,,,,,,,,,,Washington Redskins -2.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
2022,htx,Houston Texans,17,Sun,J,10:00:00,,,,,,Jacksonville Jaguars,,,,,,,,,,,,,,,,,,,Jacksonville Jaguars -4.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
2022,cin,Cincinnati Bengals,17,Mon,P,05:30:00,,,,,,Buffalo Bills,,,,,,,,,,,,,,,,,,,Buffalo Bills -1.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
2022,dal,Dallas Cowboys,17,Thu,A,05:15:00,,,,,@,Tennessee Titans,,,,,,,,,,,,,,,,,,,Dallas Cowboys -9.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
2022,sfo,San Francisco 49ers,17,Sun,K,01:05:00,,,,,@,Las Vegas Raiders,,,,,,,,,,,,,,,,,,,San Francisco 49ers -5.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
2022,nyj,New York Jets,17,Sun,L,01:05:00,,,,,@,Seattle Seahawks,,,,,,,,,,,,,,,,,,,New York Jets -2.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
