year,team,verbose_name,week,day,boxscore_url,time,boxscore_text,result,OT,record,at,opponent,team_score,opp_score,off_first_downs,off_total_yds,off_pass_yds,off_rush_yds,off_turn_overs,def_first_downs,def_total_yds,def_pass_yds,def_rush_yds,def_turn_overs,off_exp_pts,def_exp_pts,specialTm_exp_pts,Won_Toss,Roof,Surface,Vegas_Line_Close,O/U_Line,O/U_Result,aFirst_Downs,hFirst_Downs,aRush-Yds-Tds,hRush-Yds-Tds,aCmp-Att-Yd-TD-INT,hCmp-Att-Yd-TD-INT,aSacked-Yds,hSacked-Yds,aNet_Pass_Yds,hNet_Pass_Yds,aTotal_Yds,h_Total_Yds,aFumbles-Lost,hFumbles-Lost,aTurnovers,hTurnovers,aPenalties-Yds,h-Penalties-Yds,aThird_Down_Conv,hThird_Down_Conv,aFourth_Down_Conv,hFourth_Down_Conv,aTime_of_Possesion,hTime_of_Possesion
2023,was,Washington Redskins,5,Thu,A,05:15:00,,,,,,Chicago Bears,,,,,,,,,,,,,,,,,,,Washington Redskins -6.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
2023,ram,Los Angeles Rams,5,Sun,I,01:05:00,,,,,,Philadelphia Eagles,,,,,,,,,,,,,,,,,,,Philadelphia Eagles -4.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
2023,crd,Arizona Cardinals,5,Sun,J,01:05:00,,,,,,Cincinnati Bengals,,,,,,,,,,,,,,,,,,,Cincinnati Bengals -3.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
2023,den,Denver Broncos,5,Sun,K,01:25:00,,,,,,New York Jets,,,,,,,,,,,,,,,,,,,Denver Broncos -1.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
2023,min,Minnesota Vikings,5,Sun,L,01:25:00,,,,,,Kansas City Chiefs,,,,,,,,,,,,,,,,,,,Kansas City Chiefs -5.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
2023,sfo,San Francisco 49ers,5,Sun,M,05:20:00,,,,,,Dallas Cowboys,,,,,,,,,,,,,,,,,,,San Francisco 49ers -3.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
2023,buf,Buffalo Bills,5,Sun,B,06:30:00,,,,,,Jacksonville Jaguars,,,,,,,,,,,,,,,,,,,Buffalo Bills -5.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
2023,clt,Indianapolis Colts,5,Sun,C,10:00:00,,,,,,Tennessee Titans,,,,,,,,,,,,,,,,,,,Indianapolis Colts -0.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
2023,atl,Atlanta Falcons,5,Sun,D,10:00:00,,,,,,Houston Texans,,,,,,,,,,,,,,,,,,,Atlanta Falcons -1.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
2023,det,Detroit Lions,5,Sun,E,10:00:00,,,,,,Carolina Panthers,,,,,,,,,,,,,,,,,,,Detroit Lions -8.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
2023,pit,Pittsburgh Steelers,5,Sun,F,10:00:00,,,,,,Baltimore Ravens,,,,,,,,,,,,,,,,,,,Baltimore Ravens -3.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
2023,nwe,New England Patriots,5,Sun,G,10:00:00,,,,,,New Orleans Saints,,,,,,,,,,,,,,,,,,,New England Patriots -1.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
2023,mia,Miami Dolphins,5,Sun,H,10:00:00,,,,,,New York Giants,,,,,,,,,,,,,,,,,,,Miami Dolphins -10.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
2023,rai,Las Vegas Raiders,5,Mon,N,05:15:00,,,,,,Green Bay Packers,,,,,,,,,,,,,,,,,,,Green Bay Packers -1.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
2023,chi,Chicago Bears,5,Thu,A,05:15:00,,,,,@,Washington Redskins,,,,,,,,,,,,,,,,,,,Washington Redskins -6.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
2023,phi,Philadelphia Eagles,5,Sun,I,01:05:00,,,,,@,Los Angeles Rams,,,,,,,,,,,,,,,,,,,Philadelphia Eagles -4.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
2023,cin,Cincinnati Bengals,5,Sun,J,01:05:00,,,,,@,Arizona Cardinals,,,,,,,,,,,,,,,,,,,Cincinnati Bengals -3.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
2023,nyj,New York Jets,5,Sun,K,01:25:00,,,,,@,Denver Broncos,,,,,,,,,,,,,,,,,,,Denver Broncos -1.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
2023,kan,Kansas City Chiefs,5,Sun,L,01:25:00,,,,,@,Minnesota Vikings,,,,,,,,,,,,,,,,,,,Kansas City Chiefs -5.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
2023,dal,Dallas Cowboys,5,Sun,M,05:20:00,,,,,@,San Francisco 49ers,,,,,,,,,,,,,,,,,,,San Francisco 49ers -3.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
2023,jax,Jacksonville Jaguars,5,Sun,B,06:30:00,,,,,@,Buffalo Bills,,,,,,,,,,,,,,,,,,,Buffalo Bills -5.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
2023,oti,Tennessee Titans,5,Sun,C,10:00:00,,,,,@,Indianapolis Colts,,,,,,,,,,,,,,,,,,,Indianapolis Colts -0.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
2023,htx,Houston Texans,5,Sun,D,10:00:00,,,,,@,Atlanta Falcons,,,,,,,,,,,,,,,,,,,Atlanta Falcons -1.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
