year,team,verbose_name,week,day,boxscore_url,time,boxscore_text,result,OT,record,at,opponent,team_score,opp_score,off_first_downs,off_total_yds,off_pass_yds,off_rush_yds,off_turn_overs,def_first_downs,def_total_yds,def_pass_yds,def_rush_yds,def_turn_overs,off_exp_pts,def_exp_pts,specialTm_exp_pts,Won_Toss,Roof,Surface,Vegas_Line_Close,O/U_Line,O/U_Result,aFirst_Downs,hFirst_Downs,aRush-Yds-Tds,hRush-Yds-Tds,aCmp-Att-Yd-TD-INT,hCmp-Att-Yd-TD-INT,aSacked-Yds,hSacked-Yds,aNet_Pass_Yds,hNet_Pass_Yds,aTotal_Yds,h_Total_Yds,aFumbles-Lost,hFumbles-Lost,aTurnovers,hTurnovers,aPenalties-Yds,h-Penalties-Yds,aThird_Down_Conv,hThird_Down_Conv,aFourth_Down_Conv,hFourth_Down_Conv,aTime_of_Possesion,hTime_of_Possesion
2022,sea,Seattle Seahawks,15,Thu,A,05:15:00,,,,,,San Francisco 49ers,,,,,,,,,,,,,,,,,,,San Francisco 49ers -3.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
2022,cle,Cleveland Browns,15,Sat,C,01:30:00,,,,,,Baltimore Ravens,,,,,,,,,,,,,,,,,,,Cleveland Browns -2.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
2022,buf,Buffalo Bills,15,Sat,D,05:15:00,,,,,,Miami Dolphins,,,,,,,,,,,,,,,,,,,Buffalo Bills -7.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
2022,min,Minnesota Vikings,15,Sat,B,10:00:00,,,,,,Indianapolis Colts,,,,,,,,,,,,,,,,,,,Minnesota Vikings -4.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
2022,den,Denver Broncos,15,Sun,K,01:05:00,,,,,,Arizona Cardinals,,,,,,,,,,,,,,,,,,,Denver Broncos -2.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
2022,rai,Las Vegas Raiders,15,Sun,L,01:05:00,,,,,,New England Patriots,,,,,,,,,,,,,,,,,,,New England Patriots -0.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
2022,sdg,Los Angeles Chargers,15,Sun,M,01:25:00,,,,,,Tennessee Titans,,,,,,,,,,,,,,,,,,,Los Angeles Chargers -2.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
2022,tam,Tampa Bay Buccaneers,15,Sun,N,01:25:00,,,,,,Cincinnati Bengals,,,,,,,,,,,,,,,,,,,Cincinnati Bengals -3.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
2022,was,Washington Redskins,15,Sun,O,05:20:00,,,,,,New York Giants,,,,,,,,,,,,,,,,,,,Washington Redskins -4.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
2022,nor,New Orleans Saints,15,Sun,E,10:00:00,,,,,,Atlanta Falcons,,,,,,,,,,,,,,,,,,,New Orleans Saints -3.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
