verbose_name,day,time,opponent,boxscore_url,year,week,at,team,boxscore_text,result,OT,record,team_score,opp_score,off_first_downs,off_total_yds,off_pass_yds,off_rush_yds,off_turn_overs,def_first_downs,def_total_yds,def_pass_yds,def_rush_yds,def_turn_overs,off_exp_pts,def_exp_pts,specialTm_exp_pts,Won_Toss,Roof,Surface,Vegas_Line_Close,O/U_Line,O/U_Result,aFirst_Downs,hFirst_Downs,aRush-Yds-Tds,hRush-Yds-Tds,aCmp-Att-Yd-TD-INT,hCmp-Att-Yd-TD-INT,aSacked-Yds,hSacked-Yds,aNet_Pass_Yds,hNet_Pass_Yds,aTotal_Yds,h_Total_Yds,aFumbles-Lost,hFumbles-Lost,aTurnovers,hTurnovers,aPenalties-Yds,h-Penalties-Yds,aThird_Down_Conv,hThird_Down_Conv,aFourth_Down_Conv,hFourth_Down_Conv,aTime_of_Possesion,hTime_of_Possesion
Philadelphia Eagles,Mon,05:30:00,Minnesota Vikings,P,2022,2,,phi,,,,,,,,,,,,,,,,,,,,,,,Philadelphia Eagles -2.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
Los Angeles Chargers,Thu,05:15:00,Kansas City Chiefs,A,2022,2,@,sdg,,,,,,,,,,,,,,,,,,,,,,,Kansas City Chiefs -3.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
Atlanta Falcons,Sun,01:05:00,Los Angeles Rams,I,2022,2,@,atl,,,,,,,,,,,,,,,,,,,,,,,Los Angeles Rams -10.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
Seattle Seahawks,Sun,01:05:00,San Francisco 49ers,J,2022,2,@,sea,,,,,,,,,,,,,,,,,,,,,,,San Francisco 49ers -9.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
Cincinnati Bengals,Sun,01:25:00,Dallas Cowboys,K,2022,2,@,cin,,,,,,,,,,,,,,,,,,,,,,,Cincinnati Bengals -7.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
Houston Texans,Sun,01:25:00,Denver Broncos,L,2022,2,@,htx,,,,,,,,,,,,,,,,,,,,,,,Denver Broncos -9.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
Arizona Cardinals,Sun,01:25:00,Las Vegas Raiders,M,2022,2,@,crd,,,,,,,,,,,,,,,,,,,,,,,Las Vegas Raiders -5.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
Chicago Bears,Sun,05:20:00,Green Bay Packers,N,2022,2,@,chi,,,,,,,,,,,,,,,,,,,,,,,Green Bay Packers -9.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
New York Jets,Sun,10:00:00,Cleveland Browns,B,2022,2,@,nyj,,,,,,,,,,,,,,,,,,,,,,,Cleveland Browns -6.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
Washington Redskins,Sun,10:00:00,Detroit Lions,C,2022,2,@,was,,,,,,,,,,,,,,,,,,,,,,,Detroit Lions -2.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
Tampa Bay Buccaneers,Sun,10:00:00,New Orleans Saints,D,2022,2,@,tam,,,,,,,,,,,,,,,,,,,,,,,Tampa Bay Buccaneers -2.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
Carolina Panthers,Sun,10:00:00,New York Giants,E,2022,2,@,car,,,,,,,,,,,,,,,,,,,,,,,New York Giants -2.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
New England Patriots,Sun,10:00:00,Pittsburgh Steelers,F,2022,2,@,nwe,,,,,,,,,,,,,,,,,,,,,,,New England Patriots -1.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
Indianapolis Colts,Sun,10:00:00,Jacksonville Jaguars,G,2022,2,@,clt,,,,,,,,,,,,,,,,,,,,,,,Indianapolis Colts -4.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
Miami Dolphins,Sun,10:00:00,Baltimore Ravens,H,2022,2,@,mia,,,,,,,,,,,,,,,,,,,,,,,Baltimore Ravens -3.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
Tennessee Titans,Mon,04:15:00,Buffalo Bills,O,2022,2,@,oti,,,,,,,,,,,,,,,,,,,,,,,Buffalo Bills -9.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
Minnesota Vikings,Mon,05:30:00,Philadelphia Eagles,P,2022,2,@,min,,,,,,,,,,,,,,,,,,,,,,,Philadelphia Eagles -2.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
