verbose_name,day,time,opponent,boxscore_url,year,week,at,team,boxscore_text,result,OT,record,team_score,opp_score,off_first_downs,off_total_yds,off_pass_yds,off_rush_yds,off_turn_overs,def_first_downs,def_total_yds,def_pass_yds,def_rush_yds,def_turn_overs,off_exp_pts,def_exp_pts,specialTm_exp_pts,Won_Toss,Roof,Surface,Vegas_Line_Close,O/U_Line,O/U_Result,aFirst_Downs,hFirst_Downs,aRush-Yds-Tds,hRush-Yds-Tds,aCmp-Att-Yd-TD-INT,hCmp-Att-Yd-TD-INT,aSacked-Yds,hSacked-Yds,aNet_Pass_Yds,hNet_Pass_Yds,aTotal_Yds,h_Total_Yds,aFumbles-Lost,hFumbles-Lost,aTurnovers,hTurnovers,aPenalties-Yds,h-Penalties-Yds,aThird_Down_Conv,hThird_Down_Conv,aFourth_Down_Conv,hFourth_Down_Conv,aTime_of_Possesion,hTime_of_Possesion
Kansas City Chiefs,Thu,05:15:00,Los Angeles Chargers,A,2022,2,,kan,,,,,,,,,,,,,,,,,,,,,,,Kansas City Chiefs -3.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
Los Angeles Rams,Sun,01:05:00,Atlanta Falcons,I,2022,2,,ram,,,,,,,,,,,,,,,,,,,,,,,Los Angeles Rams -10.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
San Francisco 49ers,Sun,01:05:00,Seattle Seahawks,J,2022,2,,sfo,,,,,,,,,,,,,,,,,,,,,,,San Francisco 49ers -9.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
Dallas Cowboys,Sun,01:25:00,Cincinnati Bengals,K,2022,2,,dal,,,,,,,,,,,,,,,,,,,,,,,Cincinnati Bengals -7.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
Denver Broncos,Sun,01:25:00,Houston Texans,L,2022,2,,den,,,,,,,,,,,,,,,,,,,,,,,Denver Broncos -9.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
Las Vegas Raiders,Sun,01:25:00,Arizona Cardinals,M,2022,2,,rai,,,,,,,,,,,,,,,,,,,,,,,Las Vegas Raiders -5.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
Green Bay Packers,Sun,05:20:00,Chicago Bears,N,2022,2,,gnb,,,,,,,,,,,,,,,,,,,,,,,Green Bay Packers -9.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
Cleveland Browns,Sun,10:00:00,New York Jets,B,2022,2,,cle,,,,,,,,,,,,,,,,,,,,,,,Cleveland Browns -6.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
Detroit Lions,Sun,10:00:00,Washington Redskins,C,2022,2,,det,,,,,,,,,,,,,,,,,,,,,,,Detroit Lions -2.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
New Orleans Saints,Sun,10:00:00,Tampa Bay Buccaneers,D,2022,2,,nor,,,,,,,,,,,,,,,,,,,,,,,Tampa Bay Buccaneers -2.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
New York Giants,Sun,10:00:00,Carolina Panthers,E,2022,2,,nyg,,,,,,,,,,,,,,,,,,,,,,,New York Giants -2.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
Pittsburgh Steelers,Sun,10:00:00,New England Patriots,F,2022,2,,pit,,,,,,,,,,,,,,,,,,,,,,,New England Patriots -1.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
Jacksonville Jaguars,Sun,10:00:00,Indianapolis Colts,G,2022,2,,jax,,,,,,,,,,,,,,,,,,,,,,,Indianapolis Colts -4.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
Baltimore Ravens,Sun,10:00:00,Miami Dolphins,H,2022,2,,rav,,,,,,,,,,,,,,,,,,,,,,,Baltimore Ravens -3.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
Buffalo Bills,Mon,04:15:00,Tennessee Titans,O,2022,2,,buf,,,,,,,,,,,,,,,,,,,,,,,Buffalo Bills -9.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
