verbose_name,day,time,opponent,boxscore_url,year,week,at,team,boxscore_text,result,OT,record,team_score,opp_score,off_first_downs,off_total_yds,off_pass_yds,off_rush_yds,off_turn_overs,def_first_downs,def_total_yds,def_pass_yds,def_rush_yds,def_turn_overs,off_exp_pts,def_exp_pts,specialTm_exp_pts,Won_Toss,Roof,Surface,Vegas_Line_Close,O/U_Line,O/U_Result,aFirst_Downs,hFirst_Downs,aRush-Yds-Tds,hRush-Yds-Tds,aCmp-Att-Yd-TD-INT,hCmp-Att-Yd-TD-INT,aSacked-Yds,hSacked-Yds,aNet_Pass_Yds,hNet_Pass_Yds,aTotal_Yds,h_Total_Yds,aFumbles-Lost,hFumbles-Lost,aTurnovers,hTurnovers,aPenalties-Yds,h-Penalties-Yds,aThird_Down_Conv,hThird_Down_Conv,aFourth_Down_Conv,hFourth_Down_Conv,aTime_of_Possesion,hTime_of_Possesion
Los Angeles Rams,Thu,08:20:00,Buffalo Bills,A,2022,1,@,ram,,,,,,,,,,,,,,,,,,,,,,,Buffalo Bills -2.5,,,,,0-0-0,0-0-0,0-0-0-0,0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
Atlanta Falcons,Sun,01:00:00,New Orleans Saints,B,2022,1,@,atl,,,,,,,,,,,,,,,,,,,,,,,New Orleans Saints -5.5,,,,,0-0-0,0-0-0,0-0-0-0,0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
Chicago Bears,Sun,01:00:00,San Francisco 49ers,C,2022,1,@,chi,,,,,,,,,,,,,,,,,,,,,,,San Francisco 49ers -6.5,,,,,0-0-0,0-0-0,0-0-0-0,0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
Cincinnati Bengals,Sun,01:00:00,Pittsburgh Steelers,D,2022,1,@,cin,,,,,,,,,,,,,,,,,,,,,,,Cincinnati Bengals -6.5,,,,,0-0-0,0-0-0,0-0-0-0,0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
Detroit Lions,Sun,01:00:00,Philadelphia Eagles,E,2022,1,@,det,,,,,,,,,,,,,,,,,,,,,,,Philadelphia Eagles -3.5,,,,,0-0-0,0-0-0,0-0-0-0,0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
Miami Dolphins,Sun,01:00:00,New England Patriots,F,2022,1,@,mia,,,,,,,,,,,,,,,,,,,,,,,Miami Dolphins -2.5,,,,,0-0-0,0-0-0,0-0-0-0,0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
New York Jets,Sun,01:00:00,Baltimore Ravens,G,2022,1,@,nyj,,,,,,,,,,,,,,,,,,,,,,,Baltimore Ravens -6.5,,,,,0-0-0,0-0-0,0-0-0-0,0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
Washington Redskins,Sun,01:00:00,Jacksonville Jaguars,H,2022,1,@,was,,,,,,,,,,,,,,,,,,,,,,,Washington Redskins -3.5,,,,,0-0-0,0-0-0,0-0-0-0,0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
Carolina Panthers,Sun,01:00:00,Cleveland Browns,I,2022,1,@,car,,,,,,,,,,,,,,,,,,,,,,,Carolina Panthers -1.5,,,,,0-0-0,0-0-0,0-0-0-0,0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
Houston Texans,Sun,01:00:00,Indianapolis Colts,J,2022,1,@,htx,,,,,,,,,,,,,,,,,,,,,,,Indianapolis Colts -8.5,,,,,0-0-0,0-0-0,0-0-0-0,0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
Tennessee Titans,Sun,04:25:00,New York Giants,K,2022,1,@,oti,,,,,,,,,,,,,,,,,,,,,,,Tennessee Titans -6.5,,,,,0-0-0,0-0-0,0-0-0-0,0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
Minnesota Vikings,Sun,04:25:00,Green Bay Packers,L,2022,1,@,min,,,,,,,,,,,,,,,,,,,,,,,Green Bay Packers -1.5,,,,,0-0-0,0-0-0,0-0-0-0,0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
Arizona Cardinals,Sun,04:25:00,Kansas City Chiefs,M,2022,1,@,crd,,,,,,,,,,,,,,,,,,,,,,,Kansas City Chiefs -4.5,,,,,0-0-0,0-0-0,0-0-0-0,0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
Los Angeles Chargers,Sun,04:25:00,Las Vegas Raiders,N,2022,1,@,sdg,,,,,,,,,,,,,,,,,,,,,,,Los Angeles Chargers -3.5,,,,,0-0-0,0-0-0,0-0-0-0,0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
Dallas Cowboys,Sun,08:20:00,Tampa Bay Buccaneers,O,2022,1,@,dal,,,,,,,,,,,,,,,,,,,,,,,Tampa Bay Buccaneers -1.5,,,,,0-0-0,0-0-0,0-0-0-0,0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
