verbose_name,day,time,opponent,boxscore_url,year,week,at,team,boxscore_text,result,OT,record,team_score,opp_score,off_first_downs,off_total_yds,off_pass_yds,off_rush_yds,off_turn_overs,def_first_downs,def_total_yds,def_pass_yds,def_rush_yds,def_turn_overs,off_exp_pts,def_exp_pts,specialTm_exp_pts,Won_Toss,Roof,Surface,Vegas_Line_Close,O/U_Line,O/U_Result,aFirst_Downs,hFirst_Downs,aRush-Yds-Tds,hRush-Yds-Tds,aCmp-Att-Yd-TD-INT,hCmp-Att-Yd-TD-INT,aSacked-Yds,hSacked-Yds,aNet_Pass_Yds,hNet_Pass_Yds,aTotal_Yds,h_Total_Yds,aFumbles-Lost,hFumbles-Lost,aTurnovers,hTurnovers,aPenalties-Yds,h-Penalties-Yds,aThird_Down_Conv,hThird_Down_Conv,aFourth_Down_Conv,hFourth_Down_Conv,aTime_of_Possesion,hTime_of_Possesion
Seattle Seahawks,Mon,08:15:00,Denver Broncos,P,2022,1,@,sea,,,,,,,,,,,,,,,,,,,,,,,Denver Broncos -6.5,,,,,0-0-0,0-0-0,0-0-0-0,0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
Buffalo Bills,Thu,08:20:00,Los Angeles Rams,A,2022,1,,buf,,,,,,,,,,,,,,,,,,,,,,,Buffalo Bills -2.5,,,,,0-0-0,0-0-0,0-0-0-0,0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
New Orleans Saints,Sun,01:00:00,Atlanta Falcons,B,2022,1,,nor,,,,,,,,,,,,,,,,,,,,,,,New Orleans Saints -5.5,,,,,0-0-0,0-0-0,0-0-0-0,0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
San Francisco 49ers,Sun,01:00:00,Chicago Bears,C,2022,1,,sfo,,,,,,,,,,,,,,,,,,,,,,,San Francisco 49ers -6.5,,,,,0-0-0,0-0-0,0-0-0-0,0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
Pittsburgh Steelers,Sun,01:00:00,Cincinnati Bengals,D,2022,1,,pit,,,,,,,,,,,,,,,,,,,,,,,Cincinnati Bengals -6.5,,,,,0-0-0,0-0-0,0-0-0-0,0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
Philadelphia Eagles,Sun,01:00:00,Detroit Lions,E,2022,1,,phi,,,,,,,,,,,,,,,,,,,,,,,Philadelphia Eagles -3.5,,,,,0-0-0,0-0-0,0-0-0-0,0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
New England Patriots,Sun,01:00:00,Miami Dolphins,F,2022,1,,nwe,,,,,,,,,,,,,,,,,,,,,,,Miami Dolphins -2.5,,,,,0-0-0,0-0-0,0-0-0-0,0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
Baltimore Ravens,Sun,01:00:00,New York Jets,G,2022,1,,rav,,,,,,,,,,,,,,,,,,,,,,,Baltimore Ravens -6.5,,,,,0-0-0,0-0-0,0-0-0-0,0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
Jacksonville Jaguars,Sun,01:00:00,Washington Redskins,H,2022,1,,jax,,,,,,,,,,,,,,,,,,,,,,,Washington Redskins -3.5,,,,,0-0-0,0-0-0,0-0-0-0,0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
Cleveland Browns,Sun,01:00:00,Carolina Panthers,I,2022,1,,cle,,,,,,,,,,,,,,,,,,,,,,,Carolina Panthers -1.5,,,,,0-0-0,0-0-0,0-0-0-0,0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
Indianapolis Colts,Sun,01:00:00,Houston Texans,J,2022,1,,clt,,,,,,,,,,,,,,,,,,,,,,,Indianapolis Colts -8.5,,,,,0-0-0,0-0-0,0-0-0-0,0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
New York Giants,Sun,04:25:00,Tennessee Titans,K,2022,1,,nyg,,,,,,,,,,,,,,,,,,,,,,,Tennessee Titans -6.5,,,,,0-0-0,0-0-0,0-0-0-0,0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
Green Bay Packers,Sun,04:25:00,Minnesota Vikings,L,2022,1,,gnb,,,,,,,,,,,,,,,,,,,,,,,Green Bay Packers -1.5,,,,,0-0-0,0-0-0,0-0-0-0,0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
Kansas City Chiefs,Sun,04:25:00,Arizona Cardinals,M,2022,1,,kan,,,,,,,,,,,,,,,,,,,,,,,Kansas City Chiefs -4.5,,,,,0-0-0,0-0-0,0-0-0-0,0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
Las Vegas Raiders,Sun,04:25:00,Los Angeles Chargers,N,2022,1,,rai,,,,,,,,,,,,,,,,,,,,,,,Los Angeles Chargers -3.5,,,,,0-0-0,0-0-0,0-0-0-0,0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
Tampa Bay Buccaneers,Sun,08:20:00,Dallas Cowboys,O,2022,1,,tam,,,,,,,,,,,,,,,,,,,,,,,Tampa Bay Buccaneers -1.5,,,,,0-0-0,0-0-0,0-0-0-0,0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
Denver Broncos,Mon,08:15:00,Seattle Seahawks,P,2022,1,,den,,,,,,,,,,,,,,,,,,,,,,,Denver Broncos -6.5,,,,,0-0-0,0-0-0,0-0-0-0,0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
