year,team,verbose_name,week,day,boxscore_url,time,boxscore_text,result,OT,record,at,opponent,team_score,opp_score,off_first_downs,off_total_yds,off_pass_yds,off_rush_yds,off_turn_overs,def_first_downs,def_total_yds,def_pass_yds,def_rush_yds,def_turn_overs,off_exp_pts,def_exp_pts,specialTm_exp_pts,Won_Toss,Roof,Surface,Vegas_Line_Close,O/U_Line,O/U_Result,aFirst_Downs,hFirst_Downs,aRush-Yds-Tds,hRush-Yds-Tds,aCmp-Att-Yd-TD-INT,hCmp-Att-Yd-TD-INT,aSacked-Yds,hSacked-Yds,aNet_Pass_Yds,hNet_Pass_Yds,aTotal_Yds,h_Total_Yds,aFumbles-Lost,hFumbles-Lost,aTurnovers,hTurnovers,aPenalties-Yds,h-Penalties-Yds,aThird_Down_Conv,hThird_Down_Conv,aFourth_Down_Conv,hFourth_Down_Conv,aTime_of_Possesion,hTime_of_Possesion
2023,kan,Kansas City Chiefs,6,Thu,A,05:15:00,,,,,,Denver Broncos,,,,,,,,,,,,,,,,,,,Kansas City Chiefs -10.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
2023,rai,Las Vegas Raiders,6,Sun,J,01:05:00,,,,,,New England Patriots,,,,,,,,,,,,,,,,,,,Las Vegas Raiders -3.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
2023,tam,Tampa Bay Buccaneers,6,Sun,K,01:25:00,,,,,,Detroit Lions,,,,,,,,,,,,,,,,,,,Detroit Lions -3.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
2023,ram,Los Angeles Rams,6,Sun,L,01:25:00,,,,,,Arizona Cardinals,,,,,,,,,,,,,,,,,,,Los Angeles Rams -6.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
2023,nyj,New York Jets,6,Sun,M,01:25:00,,,,,,Philadelphia Eagles,,,,,,,,,,,,,,,,,,,Philadelphia Eagles -6.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
2023,buf,Buffalo Bills,6,Sun,N,05:20:00,,,,,,New York Giants,,,,,,,,,,,,,,,,,,,Buffalo Bills -14.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
2023,oti,Tennessee Titans,6,Sun,B,06:30:00,,,,,,Baltimore Ravens,,,,,,,,,,,,,,,,,,,Baltimore Ravens -3.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
2023,atl,Atlanta Falcons,6,Sun,C,10:00:00,,,,,,Washington Redskins,,,,,,,,,,,,,,,,,,,Atlanta Falcons -2.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
2023,cle,Cleveland Browns,6,Sun,D,10:00:00,,,,,,San Francisco 49ers,,,,,,,,,,,,,,,,,,,San Francisco 49ers -4.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
2023,htx,Houston Texans,6,Sun,E,10:00:00,,,,,,New Orleans Saints,,,,,,,,,,,,,,,,,,,New Orleans Saints -1.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
