verbose_name,day,time,opponent,boxscore_url,year,week,at,team,boxscore_text,result,OT,record,team_score,opp_score,off_first_downs,off_total_yds,off_pass_yds,off_rush_yds,off_turn_overs,def_first_downs,def_total_yds,def_pass_yds,def_rush_yds,def_turn_overs,off_exp_pts,def_exp_pts,specialTm_exp_pts,Won_Toss,Roof,Surface,Vegas_Line_Close,O/U_Line,O/U_Result,aFirst_Downs,hFirst_Downs,aRush-Yds-Tds,hRush-Yds-Tds,aCmp-Att-Yd-TD-INT,hCmp-Att-Yd-TD-INT,aSacked-Yds,hSacked-Yds,aNet_Pass_Yds,hNet_Pass_Yds,aTotal_Yds,h_Total_Yds,aFumbles-Lost,hFumbles-Lost,aTurnovers,hTurnovers,aPenalties-Yds,h-Penalties-Yds,aThird_Down_Conv,hThird_Down_Conv,aFourth_Down_Conv,hFourth_Down_Conv,aTime_of_Possesion,hTime_of_Possesion
Cleveland Browns,Thu,08:15:00,Pittsburgh Steelers,A,2022,3,,cle,,,,,,,,,,,,,,,,,,,,,,,Cleveland Browns -4.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
Chicago Bears,Sun,01:00:00,Houston Texans,B,2022,3,,chi,,,,,,,,,,,,,,,,,,,,,,,Chicago Bears -2.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
Tennessee Titans,Sun,01:00:00,Las Vegas Raiders,C,2022,3,,oti,,,,,,,,,,,,,,,,,,,,,,,Las Vegas Raiders -2.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
Indianapolis Colts,Sun,01:00:00,Kansas City Chiefs,D,2022,3,,clt,,,,,,,,,,,,,,,,,,,,,,,Kansas City Chiefs -6.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
Miami Dolphins,Sun,01:00:00,Buffalo Bills,E,2022,3,,mia,,,,,,,,,,,,,,,,,,,,,,,Buffalo Bills -5.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
Minnesota Vikings,Sun,01:00:00,Detroit Lions,F,2022,3,,min,,,,,,,,,,,,,,,,,,,,,,,Minnesota Vikings -6.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
New England Patriots,Sun,01:00:00,Baltimore Ravens,G,2022,3,,nwe,,,,,,,,,,,,,,,,,,,,,,,Baltimore Ravens -2.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
New York Jets,Sun,01:00:00,Cincinnati Bengals,H,2022,3,,nyj,,,,,,,,,,,,,,,,,,,,,,,Cincinnati Bengals -4.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
Washington Redskins,Sun,01:00:00,Philadelphia Eagles,I,2022,3,,was,,,,,,,,,,,,,,,,,,,,,,,Philadelphia Eagles -6.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
Carolina Panthers,Sun,01:00:00,New Orleans Saints,J,2022,3,,car,,,,,,,,,,,,,,,,,,,,,,,New Orleans Saints -2.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
Los Angeles Chargers,Sun,04:05:00,Jacksonville Jaguars,K,2022,3,,sdg,,,,,,,,,,,,,,,,,,,,,,,Los Angeles Chargers -6.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
Arizona Cardinals,Sun,04:25:00,Los Angeles Rams,L,2022,3,,crd,,,,,,,,,,,,,,,,,,,,,,,Los Angeles Rams -3.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
Seattle Seahawks,Sun,04:25:00,Atlanta Falcons,M,2022,3,,sea,,,,,,,,,,,,,,,,,,,,,,,Seattle Seahawks -1.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
Tampa Bay Buccaneers,Sun,04:25:00,Green Bay Packers,N,2022,3,,tam,,,,,,,,,,,,,,,,,,,,,,,Tampa Bay Buccaneers -2.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
Denver Broncos,Sun,08:20:00,San Francisco 49ers,O,2022,3,,den,,,,,,,,,,,,,,,,,,,,,,,San Francisco 49ers -1.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
New York Giants,Mon,08:15:00,Dallas Cowboys,P,2022,3,,nyg,,,,,,,,,,,,,,,,,,,,,,,New York Giants -2.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
Pittsburgh Steelers,Thu,08:15:00,Cleveland Browns,A,2022,3,@,pit,,,,,,,,,,,,,,,,,,,,,,,Cleveland Browns -4.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
Houston Texans,Sun,01:00:00,Chicago Bears,B,2022,3,@,htx,,,,,,,,,,,,,,,,,,,,,,,Chicago Bears -2.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
Las Vegas Raiders,Sun,01:00:00,Tennessee Titans,C,2022,3,@,rai,,,,,,,,,,,,,,,,,,,,,,,Las Vegas Raiders -2.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
Kansas City Chiefs,Sun,01:00:00,Indianapolis Colts,D,2022,3,@,kan,,,,,,,,,,,,,,,,,,,,,,,Kansas City Chiefs -6.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
Buffalo Bills,Sun,01:00:00,Miami Dolphins,E,2022,3,@,buf,,,,,,,,,,,,,,,,,,,,,,,Buffalo Bills -5.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
Detroit Lions,Sun,01:00:00,Minnesota Vikings,F,2022,3,@,det,,,,,,,,,,,,,,,,,,,,,,,Minnesota Vikings -6.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
Baltimore Ravens,Sun,01:00:00,New England Patriots,G,2022,3,@,rav,,,,,,,,,,,,,,,,,,,,,,,Baltimore Ravens -2.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
Cincinnati Bengals,Sun,01:00:00,New York Jets,H,2022,3,@,cin,,,,,,,,,,,,,,,,,,,,,,,Cincinnati Bengals -4.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
Philadelphia Eagles,Sun,01:00:00,Washington Redskins,I,2022,3,@,phi,,,,,,,,,,,,,,,,,,,,,,,Philadelphia Eagles -6.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
New Orleans Saints,Sun,01:00:00,Carolina Panthers,J,2022,3,@,nor,,,,,,,,,,,,,,,,,,,,,,,New Orleans Saints -2.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
Jacksonville Jaguars,Sun,04:05:00,Los Angeles Chargers,K,2022,3,@,jax,,,,,,,,,,,,,,,,,,,,,,,Los Angeles Chargers -6.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
Los Angeles Rams,Sun,04:25:00,Arizona Cardinals,L,2022,3,@,ram,,,,,,,,,,,,,,,,,,,,,,,Los Angeles Rams -3.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
Atlanta Falcons,Sun,04:25:00,Seattle Seahawks,M,2022,3,@,atl,,,,,,,,,,,,,,,,,,,,,,,Seattle Seahawks -1.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
Green Bay Packers,Sun,04:25:00,Tampa Bay Buccaneers,N,2022,3,@,gnb,,,,,,,,,,,,,,,,,,,,,,,Tampa Bay Buccaneers -2.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
San Francisco 49ers,Sun,08:20:00,Denver Broncos,O,2022,3,@,sfo,,,,,,,,,,,,,,,,,,,,,,,San Francisco 49ers -1.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
Dallas Cowboys,Mon,08:15:00,New York Giants,P,2022,3,@,dal,,,,,,,,,,,,,,,,,,,,,,,New York Giants -2.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
