year,team,verbose_name,week,day,boxscore_url,time,boxscore_text,result,OT,record,at,opponent,team_score,opp_score,off_first_downs,off_total_yds,off_pass_yds,off_rush_yds,off_turn_overs,def_first_downs,def_total_yds,def_pass_yds,def_rush_yds,def_turn_overs,off_exp_pts,def_exp_pts,specialTm_exp_pts,Won_Toss,Roof,Surface,Vegas_Line_Close,O/U_Line,O/U_Result,aFirst_Downs,hFirst_Downs,aRush-Yds-Tds,hRush-Yds-Tds,aCmp-Att-Yd-TD-INT,hCmp-Att-Yd-TD-INT,aSacked-Yds,hSacked-Yds,aNet_Pass_Yds,hNet_Pass_Yds,aTotal_Yds,h_Total_Yds,aFumbles-Lost,hFumbles-Lost,aTurnovers,hTurnovers,aPenalties-Yds,h-Penalties-Yds,aThird_Down_Conv,hThird_Down_Conv,aFourth_Down_Conv,hFourth_Down_Conv,aTime_of_Possesion,hTime_of_Possesion
2022,dal,Dallas Cowboys,12,Thu,B,01:30:00,,,,,,New York Giants,,,,,,,,,,,,,,,,,,,Dallas Cowboys -9.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
2022,min,Minnesota Vikings,12,Thu,C,05:20:00,,,,,,New England Patriots,,,,,,,,,,,,,,,,,,,Minnesota Vikings -2.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
2022,det,Detroit Lions,12,Thu,A,09:30:00,,,,,,Buffalo Bills,,,,,,,,,,,,,,,,,,,Buffalo Bills -9.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
2022,crd,Arizona Cardinals,12,Sun,K,01:05:00,,,,,,Los Angeles Chargers,,,,,,,,,,,,,,,,,,,Los Angeles Chargers -4.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
2022,sea,Seattle Seahawks,12,Sun,L,01:05:00,,,,,,Las Vegas Raiders,,,,,,,,,,,,,,,,,,,Seattle Seahawks -3.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
2022,kan,Kansas City Chiefs,12,Sun,M,01:25:00,,,,,,Los Angeles Rams,,,,,,,,,,,,,,,,,,,Kansas City Chiefs -14.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
2022,sfo,San Francisco 49ers,12,Sun,N,01:25:00,,,,,,New Orleans Saints,,,,,,,,,,,,,,,,,,,San Francisco 49ers -9.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
2022,phi,Philadelphia Eagles,12,Sun,O,05:20:00,,,,,,Green Bay Packers,,,,,,,,,,,,,,,,,,,Philadelphia Eagles -6.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
2022,cle,Cleveland Browns,12,Sun,D,10:00:00,,,,,,Tampa Bay Buccaneers,,,,,,,,,,,,,,,,,,,Tampa Bay Buccaneers -3.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
2022,oti,Tennessee Titans,12,Sun,E,10:00:00,,,,,,Cincinnati Bengals,,,,,,,,,,,,,,,,,,,Cincinnati Bengals -1.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
