verbose_name,day,time,opponent,boxscore_url,year,week,at,team,boxscore_text,result,OT,record,team_score,opp_score,off_first_downs,off_total_yds,off_pass_yds,off_rush_yds,off_turn_overs,def_first_downs,def_total_yds,def_pass_yds,def_rush_yds,def_turn_overs,off_exp_pts,def_exp_pts,specialTm_exp_pts,Won_Toss,Roof,Surface,Vegas_Line_Close,O/U_Line,O/U_Result,aFirst_Downs,hFirst_Downs,aRush-Yds-Tds,hRush-Yds-Tds,aCmp-Att-Yd-TD-INT,hCmp-Att-Yd-TD-INT,aSacked-Yds,hSacked-Yds,aNet_Pass_Yds,hNet_Pass_Yds,aTotal_Yds,h_Total_Yds,aFumbles-Lost,hFumbles-Lost,aTurnovers,hTurnovers,aPenalties-Yds,h-Penalties-Yds,aThird_Down_Conv,hThird_Down_Conv,aFourth_Down_Conv,hFourth_Down_Conv,aTime_of_Possesion,hTime_of_Possesion
Cincinnati Bengals,Thu,05:15:00,Miami Dolphins,A,2022,4,,cin,,,,,,,,,,,,,,,,,,,,,,,Cincinnati Bengals -3.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
Carolina Panthers,Sun,01:05:00,Arizona Cardinals,L,2022,4,,car,,,,,,,,,,,,,,,,,,,,,,,Carolina Panthers -1.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
Green Bay Packers,Sun,01:25:00,New England Patriots,M,2022,4,,gnb,,,,,,,,,,,,,,,,,,,,,,,Green Bay Packers -10.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
Las Vegas Raiders,Sun,01:25:00,Denver Broncos,N,2022,4,,rai,,,,,,,,,,,,,,,,,,,,,,,Las Vegas Raiders -2.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
Tampa Bay Buccaneers,Sun,05:20:00,Kansas City Chiefs,O,2022,4,,tam,,,,,,,,,,,,,,,,,,,,,,,Kansas City Chiefs -2.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
New Orleans Saints,Sun,06:30:00,Minnesota Vikings,B,2022,4,,nor,,,,,,,,,,,,,,,,,,,,,,,Minnesota Vikings -2.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
Atlanta Falcons,Sun,10:00:00,Cleveland Browns,C,2022,4,,atl,,,,,,,,,,,,,,,,,,,,,,,Cleveland Browns -2.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
Dallas Cowboys,Sun,10:00:00,Washington Redskins,D,2022,4,,dal,,,,,,,,,,,,,,,,,,,,,,,Dallas Cowboys -3.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
Detroit Lions,Sun,10:00:00,Seattle Seahawks,E,2022,4,,det,,,,,,,,,,,,,,,,,,,,,,,Detroit Lions -4.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
Indianapolis Colts,Sun,10:00:00,Tennessee Titans,F,2022,4,,clt,,,,,,,,,,,,,,,,,,,,,,,Indianapolis Colts -2.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
New York Giants,Sun,10:00:00,Chicago Bears,G,2022,4,,nyg,,,,,,,,,,,,,,,,,,,,,,,New York Giants -3.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
Philadelphia Eagles,Sun,10:00:00,Jacksonville Jaguars,H,2022,4,,phi,,,,,,,,,,,,,,,,,,,,,,,Philadelphia Eagles -6.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
Pittsburgh Steelers,Sun,10:00:00,New York Jets,I,2022,4,,pit,,,,,,,,,,,,,,,,,,,,,,,Pittsburgh Steelers -3.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
Baltimore Ravens,Sun,10:00:00,Buffalo Bills,J,2022,4,,rav,,,,,,,,,,,,,,,,,,,,,,,Buffalo Bills -3.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
Houston Texans,Sun,10:00:00,Los Angeles Chargers,K,2022,4,,htx,,,,,,,,,,,,,,,,,,,,,,,Los Angeles Chargers -4.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
San Francisco 49ers,Mon,05:15:00,Los Angeles Rams,P,2022,4,,sfo,,,,,,,,,,,,,,,,,,,,,,,San Francisco 49ers -2.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
Miami Dolphins,Thu,05:15:00,Cincinnati Bengals,A,2022,4,@,mia,,,,,,,,,,,,,,,,,,,,,,,Cincinnati Bengals -3.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
