year,team,verbose_name,week,day,boxscore_url,time,boxscore_text,result,OT,record,at,opponent,team_score,opp_score,off_first_downs,off_total_yds,off_pass_yds,off_rush_yds,off_turn_overs,def_first_downs,def_total_yds,def_pass_yds,def_rush_yds,def_turn_overs,off_exp_pts,def_exp_pts,specialTm_exp_pts,Won_Toss,Roof,Surface,Vegas_Line_Close,O/U_Line,O/U_Result,aFirst_Downs,hFirst_Downs,aRush-Yds-Tds,hRush-Yds-Tds,aCmp-Att-Yd-TD-INT,hCmp-Att-Yd-TD-INT,aSacked-Yds,hSacked-Yds,aNet_Pass_Yds,hNet_Pass_Yds,aTotal_Yds,h_Total_Yds,aFumbles-Lost,hFumbles-Lost,aTurnovers,hTurnovers,aPenalties-Yds,h-Penalties-Yds,aThird_Down_Conv,hThird_Down_Conv,aFourth_Down_Conv,hFourth_Down_Conv,aTime_of_Possesion,hTime_of_Possesion
2022,tam,Tampa Bay Buccaneers,8,Thu,A,05:15:00,,,,,,Baltimore Ravens,,,,,,,,,,,,,,,,,,,Baltimore Ravens -1.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
2022,htx,Houston Texans,8,Sun,J,01:05:00,,,,,,Tennessee Titans,,,,,,,,,,,,,,,,,,,Tennessee Titans -1.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
2022,clt,Indianapolis Colts,8,Sun,K,01:25:00,,,,,,Washington Redskins,,,,,,,,,,,,,,,,,,,Indianapolis Colts -2.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
2022,ram,Los Angeles Rams,8,Sun,L,01:25:00,,,,,,San Francisco 49ers,,,,,,,,,,,,,,,,,,,San Francisco 49ers -1.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
2022,sea,Seattle Seahawks,8,Sun,M,01:25:00,,,,,,New York Giants,,,,,,,,,,,,,,,,,,,Seattle Seahawks -2.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
2022,buf,Buffalo Bills,8,Sun,N,05:20:00,,,,,,Green Bay Packers,,,,,,,,,,,,,,,,,,,Buffalo Bills -10.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
2022,jax,Jacksonville Jaguars,8,Sun,B,06:30:00,,,,,,Denver Broncos,,,,,,,,,,,,,,,,,,,Jacksonville Jaguars -3.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
2022,atl,Atlanta Falcons,8,Sun,C,10:00:00,,,,,,Carolina Panthers,,,,,,,,,,,,,,,,,,,Atlanta Falcons -4.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
2022,dal,Dallas Cowboys,8,Sun,D,10:00:00,,,,,,Chicago Bears,,,,,,,,,,,,,,,,,,,Dallas Cowboys -9.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
2022,det,Detroit Lions,8,Sun,E,10:00:00,,,,,,Miami Dolphins,,,,,,,,,,,,,,,,,,,Miami Dolphins -3.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
2022,min,Minnesota Vikings,8,Sun,F,10:00:00,,,,,,Arizona Cardinals,,,,,,,,,,,,,,,,,,,Minnesota Vikings -3.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
2022,nor,New Orleans Saints,8,Sun,G,10:00:00,,,,,,Las Vegas Raiders,,,,,,,,,,,,,,,,,,,Las Vegas Raiders -1.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
2022,nyj,New York Jets,8,Sun,H,10:00:00,,,,,,New England Patriots,,,,,,,,,,,,,,,,,,,New England Patriots -1.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
2022,phi,Philadelphia Eagles,8,Sun,I,10:00:00,,,,,,Pittsburgh Steelers,,,,,,,,,,,,,,,,,,,Philadelphia Eagles -10.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
2022,cle,Cleveland Browns,8,Mon,O,05:15:00,,,,,,Cincinnati Bengals,,,,,,,,,,,,,,,,,,,Cincinnati Bengals -3.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
2022,rav,Baltimore Ravens,8,Thu,A,05:15:00,,,,,@,Tampa Bay Buccaneers,,,,,,,,,,,,,,,,,,,Baltimore Ravens -1.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
2022,oti,Tennessee Titans,8,Sun,J,01:05:00,,,,,@,Houston Texans,,,,,,,,,,,,,,,,,,,Tennessee Titans -1.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
2022,was,Washington Redskins,8,Sun,K,01:25:00,,,,,@,Indianapolis Colts,,,,,,,,,,,,,,,,,,,Indianapolis Colts -2.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
