year,team,verbose_name,week,day,boxscore_url,time,boxscore_text,result,OT,record,at,opponent,team_score,opp_score,off_first_downs,off_total_yds,off_pass_yds,off_rush_yds,off_turn_overs,def_first_downs,def_total_yds,def_pass_yds,def_rush_yds,def_turn_overs,off_exp_pts,def_exp_pts,specialTm_exp_pts,Won_Toss,Roof,Surface,Vegas_Line_Close,O/U_Line,O/U_Result,aFirst_Downs,hFirst_Downs,aRush-Yds-Tds,hRush-Yds-Tds,aCmp-Att-Yd-TD-INT,hCmp-Att-Yd-TD-INT,aSacked-Yds,hSacked-Yds,aNet_Pass_Yds,hNet_Pass_Yds,aTotal_Yds,h_Total_Yds,aFumbles-Lost,hFumbles-Lost,aTurnovers,hTurnovers,aPenalties-Yds,h-Penalties-Yds,aThird_Down_Conv,hThird_Down_Conv,aFourth_Down_Conv,hFourth_Down_Conv,aTime_of_Possesion,hTime_of_Possesion,hOff_snap_count,hDef_snap_count,hST_snap_count,aOff_snap_count,aDef_snap_count,aST_snap_count,hDef_int,hDef_int_yds,hDef_int_td,hDef_int_long,hPass_defended,hSacks,hTackles_combined,hTackles_solo,hTackles_assists,hTackles_loss,hQb_hits,hFumbles_rec,hFumbles_rec_yds,hFumbles_rec_td,hFumbles_forced,aDef_int,aDef_int_yds,aDef_int_td,aDef_int_long,aPass_defended,aSacks,aTackles_combined,aTackles_solo,aTackles_assists,aTackles_loss,aQb_hits,aFumbles_rec,aFumbles_rec_yds,aFumbles_rec_td,aFumbles_forced
2022,rav,Baltimore Ravens,5,Sun,O,08:20:00,,,,,,Cincinnati Bengals,,,,,,,,,,,,,,,,,,,Baltimore Ravens -2.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,gnb,Green Bay Packers,5,Sun,B,09:30:00,,,,,,New York Giants,,,,,,,,,,,,,,,,,,,Green Bay Packers -7.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,kan,Kansas City Chiefs,5,Mon,P,08:15:00,,,,,,Las Vegas Raiders,,,,,,,,,,,,,,,,,,,Kansas City Chiefs -6.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,clt,Indianapolis Colts,5,Thu,A,08:15:00,,,,,@,Denver Broncos,,,,,,,,,,,,,,,,,,,Denver Broncos -3.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,pit,Pittsburgh Steelers,5,Sun,C,01:00:00,,,,,@,Buffalo Bills,,,,,,,,,,,,,,,,,,,Buffalo Bills -13.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,sdg,Los Angeles Chargers,5,Sun,D,01:00:00,,,,,@,Cleveland Browns,,,,,,,,,,,,,,,,,,,Los Angeles Chargers -2.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,chi,Chicago Bears,5,Sun,E,01:00:00,,,,,@,Minnesota Vikings,,,,,,,,,,,,,,,,,,,Minnesota Vikings -7.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,det,Detroit Lions,5,Sun,F,01:00:00,,,,,@,New England Patriots,,,,,,,,,,,,,,,,,,,New England Patriots -3.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,sea,Seattle Seahawks,5,Sun,G,01:00:00,,,,,@,New Orleans Saints,,,,,,,,,,,,,,,,,,,New Orleans Saints -5.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,mia,Miami Dolphins,5,Sun,H,01:00:00,,,,,@,New York Jets,,,,,,,,,,,,,,,,,,,Miami Dolphins -3.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,atl,Atlanta Falcons,5,Sun,I,01:00:00,,,,,@,Tampa Bay Buccaneers,,,,,,,,,,,,,,,,,,,Tampa Bay Buccaneers -8.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,oti,Tennessee Titans,5,Sun,J,01:00:00,,,,,@,Washington Redskins,,,,,,,,,,,,,,,,,,,Tennessee Titans -2.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,htx,Houston Texans,5,Sun,K,01:00:00,,,,,@,Jacksonville Jaguars,,,,,,,,,,,,,,,,,,,Jacksonville Jaguars -6.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,sfo,San Francisco 49ers,5,Sun,L,04:05:00,,,,,@,Carolina Panthers,,,,,,,,,,,,,,,,,,,San Francisco 49ers -6.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,dal,Dallas Cowboys,5,Sun,M,04:25:00,,,,,@,Los Angeles Rams,,,,,,,,,,,,,,,,,,,Los Angeles Rams -4.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,phi,Philadelphia Eagles,5,Sun,N,04:25:00,,,,,@,Arizona Cardinals,,,,,,,,,,,,,,,,,,,Philadelphia Eagles -5.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,cin,Cincinnati Bengals,5,Sun,O,08:20:00,,,,,@,Baltimore Ravens,,,,,,,,,,,,,,,,,,,Baltimore Ravens -2.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,nyg,New York Giants,5,Sun,B,09:30:00,,,,,@,Green Bay Packers,,,,,,,,,,,,,,,,,,,Green Bay Packers -7.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,rai,Las Vegas Raiders,5,Mon,P,08:15:00,,,,,@,Kansas City Chiefs,,,,,,,,,,,,,,,,,,,Kansas City Chiefs -6.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
