,year,week,Home_Team,Away_Team,Home_Win,Home_Fav,Home_Vegas_Spread,Home_Actual_Spread,Home_Score,Away_Score,Trail_Home_Score,Trail_Away_Score,Home_Allowed,Away_Allowed,Home_TO,Away_TO,Home_FTO,Away_FTO,Home_Pass_Eff,Away_Pass_Eff,Home_Pass_Def,Away_Pass_Def,Home_Rush_Eff,Away_Rush_Eff,Home_Rush_Def,Away_Rush_Def,Home_Pen_Yds,Away_Pen_Yds,Home_Pen_Yds_Agg,Away_Pen_Yds_Agg,Home_Third_Eff,Away_Third_Eff,Home_Third_Def,Away_Third_Def,Home_Fourth_Eff,Away_Fourth_Eff,Home_Fourth_Def,Away_Fourth_Def,boxscore_url,wonLast,lostLast,lostLastAsFav,wonLastAsDog,Home_Off_Rank,Home_Def_Rank,Away_Off_Rank,Away_Def_Rank
21,2012,2,gnb,chi,W,1,-5.5,-13.0,23.0,10.0,22.0,41.0,30.0,21.0,1.0,1.0,0.0,5.0,6.886363636363637,9.514285714285714,8.115384615384615,6.866666666666666,3.2142857142857144,3.4545454545454546,5.8125,4.2,77.0,48.0,66.0,19.0,0.4552054955257146,0.2399616996726774,-0.0665093202494871,-0.0536621249336642,-9.582951273995558,0.7326780758318661,0.7326780758318667,1.2318665543126022,/boxscores/201209130gnb.htm,1,0,0,0,,,,
22,2012,2,cin,cle,W,1,-7.0,-7.0,34.0,27.0,13.0,16.0,44.0,17.0,2.0,4.0,0.0,5.0,5.972972972972973,3.3714285714285714,10.28125,5.660714285714286,4.607142857142857,4.5,5.304347826086956,5.0,41.0,35.0,50.0,110.0,0.1692248953946669,-0.0339743042843401,0.172899673183112,0.4036264998435157,0.6370567626398149,0.7326780758318661,4.496396382361247,4.496396382361247,/boxscores/201209160cin.htm,0,1,0,0,,,,
23,2012,2,sea,dal,W,-1,3.0,-20.0,27.0,7.0,16.0,24.0,20.0,17.0,2.0,1.0,2.0,1.0,4.5,10.586206896551724,5.972222222222222,6.65625,3.484848484848485,5.5,2.15,4.315789473684211,90.0,86.0,102.0,33.0,0.2435541996152034,0.3326655436586789,0.1395017093625072,0.2399616996726772,-9.582951273995558,-9.582951273995558,0.7326780758318667,1.2318665543126022,/boxscores/201209160sea.htm,1,0,0,1,,,,
24,2012,2,sfo,det,W,1,-7.0,-8.0,27.0,19.0,30.0,27.0,22.0,23.0,0.0,3.0,1.0,0.0,8.115384615384615,7.395833333333333,6.886363636363637,7.92,5.8125,4.611111111111111,3.2142857142857144,2.9615384615384617,66.0,27.0,77.0,65.0,-0.0665093202494871,0.4123086666157116,0.4552054955257144,0.2399616996726772,0.7326780758318661,0.7326780758318661,-9.582951273995487,0.7326780758318667,/boxscores/201209160sfo.htm,1,0,0,0,,,,
25,2012,2,jax,htx,L,-1,7.0,20.0,7.0,27.0,23.0,30.0,26.0,10.0,1.0,0.0,1.0,4.0,6.666666666666667,8.580645161290322,10.0,6.083333333333333,3.323529411764706,2.3714285714285714,4.241379310344827,3.8,25.0,35.0,47.0,78.0,0.510147829188376,0.3877976625467849,-0.0536621249336642,-0.0536621249336642,0.2981824204090013,0.7326780758318661,0.7326780758318667,-0.3286481501048927,/boxscores/201209160jax.htm,1,0,0,0,,,,
26,2012,2,clt,min,W,-1,3.0,-3.0,23.0,20.0,21.0,26.0,41.0,23.0,5.0,1.0,1.0,1.0,6.866666666666666,10.0,9.514285714285714,6.666666666666667,4.2,4.241379310344827,3.4545454545454546,3.323529411764706,19.0,47.0,48.0,25.0,-0.0536621249336641,-0.0536621249336641,0.2399616996726772,0.5101478291883759,1.2318665543126028,0.7326780758318661,0.7326780758318667,0.2981824204090009,/boxscores/201209160clt.htm,0,1,0,0,,,,
27,2012,2,mia,rai,W,-1,2.0,-22.0,35.0,13.0,10.0,14.0,30.0,22.0,4.0,1.0,0.0,0.0,6.083333333333333,6.456521739130435,8.580645161290322,7.0,3.8,2.25,2.3714285714285714,1.6,78.0,35.0,35.0,78.0,-0.0536621249336641,0.2674861378825304,0.3877976625467847,0.3329105455732007,-0.3286481501048927,-0.6355017134946003,0.7326780758318667,0.7326780758318667,/boxscores/201209160mia.htm,0,1,0,0,,,,
28,2012,2,nyg,tam,W,1,-8.0,-7.0,41.0,34.0,17.0,16.0,24.0,10.0,1.0,0.0,1.0,2.0,6.65625,5.75,10.586206896551724,9.181818181818182,4.315789473684211,3.611111111111111,5.5,0.7692307692307693,33.0,35.0,86.0,65.0,0.2399616996726774,0.2966337374923472,0.3326655436586786,-0.0536621249336642,1.2318665543126028,0.7326780758318661,-9.582951273995487,0.7326780758318667,/boxscores/201209160nyg.htm,0,1,1,0,,,,
29,2012,2,pit,nyj,W,1,-4.5,-17.0,27.0,10.0,19.0,48.0,31.0,28.0,1.0,1.0,1.0,4.0,6.125,9.851851851851851,9.73076923076923,6.09375,2.8846153846153846,3.2777777777777777,3.4814814814814814,7.5,52.0,34.0,49.0,34.0,0.6152375632493607,0.8414769177886152,0.6517176600483106,0.8911266534809097,0.2981824204090013,0.7326780758318661,0.7326780758318667,4.496396382361247,/boxscores/201209160pit.htm,1,0,0,0,,,,
30,2012,2,sdg,oti,W,1,-6.0,-28.0,38.0,10.0,22.0,13.0,14.0,34.0,0.0,2.0,1.0,0.0,7.0,6.325581395348837,6.456521739130435,7.612903225806452,1.6,1.25,2.25,4.628571428571429,78.0,30.0,35.0,20.0,0.3329105455732009,0.2966337374923472,0.2674861378825303,0.518631510096799,0.7326780758318661,0.2981824204090013,-0.6355017134946003,0.7326780758318667,/boxscores/201209160sdg.htm,1,0,0,1,,,,
31,2012,2,ram,was,W,-1,3.5,-3.0,31.0,28.0,23.0,40.0,27.0,32.0,0.0,0.0,3.0,3.0,7.92,12.307692307692308,7.395833333333333,6.519230769230769,2.9615384615384617,3.558139534883721,4.611111111111111,3.2,65.0,127.0,27.0,107.0,0.2399616996726774,0.1692248953946669,0.4123086666157113,-0.0449746492402853,0.7326780758318661,4.496396382361285,0.7326780758318667,1.2318665543126022,/boxscores/201209160ram.htm,0,1,0,0,,,,
32,2012,3,crd,phi,W,-1,3.0,-21.0,27.0,6.0,20.0,24.0,18.0,23.0,2.0,4.0,1.0,2.0,5.185185185185185,11.59375,6.869565217391305,5.523809523809524,3.1875,3.1463414634146343,3.2142857142857144,5.285714285714286,39.0,58.0,60.0,45.0,0.1876651014330936,0.4640086228582575,0.2674861378825303,0.1876651014330935,0.7326780758318661,4.496396382361285,0.7326780758318667,-0.6355017134946003,/boxscores/201209230crd.htm,1,0,0,1,,,,
33,2012,3,sdg,atl,L,1,-3.0,24.0,3.0,27.0,38.0,27.0,10.0,21.0,1.0,0.0,1.0,4.0,8.875,6.083333333333333,5.8,6.513513513513513,3.7948717948717943,2.392857142857143,3.8,4.37037037037037,41.0,72.0,59.0,96.0,0.6341647230617995,0.3329105455732009,-0.3059183136820864,0.2399616996726772,4.496396382361285,0.7326780758318661,0.7326780758318667,4.496396382361247,/boxscores/201209230sdg.htm,1,0,0,0,,,,
34,2012,3,rav,nwe,W,1,-3.0,-1.0,31.0,30.0,23.0,18.0,24.0,20.0,2.0,1.0,4.0,2.0,5.523809523809524,6.869565217391305,11.59375,5.185185185185185,5.285714285714286,3.2142857142857144,3.1463414634146343,3.1875,45.0,60.0,58.0,39.0,0.1876651014330936,0.2674861378825304,0.4640086228582573,0.1876651014330935,-0.6355017134946003,0.7326780758318661,4.496396382361247,0.7326780758318667,/boxscores/201209230rav.htm,0,1,0,0,,,,
35,2012,3,cle,buf,L,-1,3.0,10.0,14.0,24.0,27.0,35.0,34.0,17.0,1.0,0.0,1.0,3.0,8.702702702702704,9.36842105263158,10.258064516129032,7.166666666666667,5.652173913043479,5.583333333333333,3.2,6.25,103.0,50.0,54.0,33.0,0.4640086228582575,0.3792966048847383,0.2399616996726772,0.296633737492347,0.7326780758318661,0.7326780758318661,4.496396382361247,0.7326780758318667,/boxscores/201209230cle.htm,1,0,0,0,,,,
36,2012,3,car,nyg,L,1,-3.0,29.0,7.0,36.0,35.0,41.0,27.0,34.0,1.0,3.0,2.0,2.0,12.65,10.0,6.63265306122449,8.678571428571429,5.341463414634147,3.76,6.037037037037037,3.590909090909091,34.0,53.0,23.0,33.0,0.5186315100967993,0.3329105455732009,0.5775004454782281,-0.0536621249336642,-9.582951273995558,0.7326780758318661,-9.582951273995487,0.7326780758318667,/boxscores/201209200car.htm,1,0,0,1,,,,
37,2012,3,chi,ram,W,1,-7.0,-17.0,23.0,6.0,10.0,31.0,23.0,28.0,4.0,3.0,2.0,1.0,4.666666666666667,8.857142857142858,7.454545454545454,7.103448275862069,4.086956521739131,5.592592592592593,3.7857142857142856,6.068965517241379,65.0,60.0,54.0,96.0,0.2674861378825304,0.6579664153088601,0.1876651014330935,0.210615595620687,0.2981824204090013,0.7326780758318661,4.496396382361247,0.7326780758318667,/boxscores/201209230chi.htm,0,1,0,0,,,,
38,2012,3,was,cin,L,1,-3.0,7.0,31.0,38.0,28.0,34.0,31.0,27.0,1.0,1.0,3.0,1.0,7.103448275862069,10.258064516129032,8.857142857142858,8.702702702702704,6.068965517241379,3.2,5.592592592592593,5.652173913043479,96.0,54.0,60.0,103.0,0.2106155956206872,0.2399616996726774,0.6579664153088599,0.4640086228582573,0.7326780758318661,4.496396382361285,0.7326780758318667,0.7326780758318667,/boxscores/201209230was.htm,1,0,0,0,,,,
39,2012,3,dal,tam,W,1,-7.0,-6.0,16.0,10.0,7.0,34.0,27.0,41.0,2.0,2.0,0.0,3.0,6.275,8.678571428571429,7.55,10.0,3.0625,3.590909090909091,4.439024390243903,3.76,47.0,33.0,35.0,53.0,0.5775004454782283,-0.0536621249336641,0.296633737492347,0.3329105455732007,0.7326780758318661,0.7326780758318661,0.2981824204090009,0.7326780758318667,/boxscores/201209230dal.htm,0,1,1,0,,,,
