year,team,verbose_name,week,day,boxscore_url,time,boxscore_text,result,OT,record,at,opponent,team_score,opp_score,off_first_downs,off_total_yds,off_pass_yds,off_rush_yds,off_turn_overs,def_first_downs,def_total_yds,def_pass_yds,def_rush_yds,def_turn_overs,off_exp_pts,def_exp_pts,specialTm_exp_pts,Won_Toss,Roof,Surface,Vegas_Line_Close,O/U_Line,O/U_Result,aFirst_Downs,hFirst_Downs,aRush-Yds-Tds,hRush-Yds-Tds,aCmp-Att-Yd-TD-INT,hCmp-Att-Yd-TD-INT,aSacked-Yds,hSacked-Yds,aNet_Pass_Yds,hNet_Pass_Yds,aTotal_Yds,h_Total_Yds,aFumbles-Lost,hFumbles-Lost,aTurnovers,hTurnovers,aPenalties-Yds,h-Penalties-Yds,aThird_Down_Conv,hThird_Down_Conv,aFourth_Down_Conv,hFourth_Down_Conv,aTime_of_Possesion,hTime_of_Possesion,hOff_snap_count,hDef_snap_count,hST_snap_count,aOff_snap_count,aDef_snap_count,aST_snap_count
onv,aTime_of_Possesion,hTime_of_Possesion,hOff_snap_count,hDef_snap_count,hST_snap_count,aOff_snap_count,aDef_snap_count,aST_snap_count
2013,crd,Arizona Cardinals,5,Sun,/boxscores/201310060crd.htm,4:05PM ET,boxscore,W,,3-2,,Carolina Panthers,22,6,19,250,160,90,3,21,353,258,95,4,-8.23,18.28,6.15,Panthers (deferred),retractable roof (closed),grass,Carolina Panthers -3.0,41.5,(under),21,19,20-95-0,28-90-1,21-39-308-0-3,19-28-175-1-3,7-50,2-15,258,160,353,250,1-1,0-0,4,3,9-79,3-30,5-12,4-12,0-1,0-0,31:04,28:56,62,68,23,68,62,23
2013,crd,Arizona Cardinals,6,Sun,/boxscores/201310130sfo.htm,4:25PM ET,boxscore,L,,3-3,@,San Francisco 49ers,20,32,16,403,294,109,4,20,387,238,149,2,-9.22,1.25,-1.87,49ers (deferred),outdoors,grass,San Francisco 49ers -10.5,40.5,(over),16,20,21-109-1,38-149-1,25-41-298-2-2,16-29-252-2-1,1-4,2-14,294,238,403,387,3-2,2-1,4,2,6-38,4-35,5-13,4-14,0-1,1-1,25:41,34:19,70,66,32,66,70,32
2013,crd,Arizona Cardinals,7,Thu,/boxscores/201310170crd.htm,8:25PM ET,boxscore,L,,3-4,,Seattle Seahawks,22,34,22,234,204,30,2,21,344,209,135,2,-13.62,5.21,-0.67,Cardinals,retractable roof (closed),grass,Seattle Seahawks -4.5,41.0,(over),21,22,32-135-1,18-30-1,18-29-235-3-0,30-45-258-1-2,3-26,7-54,209,204,344,234,4-2,2-0,2,2,10-70,3-22,7-12,5-15,0-1,1-2,27:40,32:20,75,67,30,67,75,30
2013,crd,Arizona Cardinals,8,Sun,/boxscores/201310270crd.htm,4:25PM ET,boxscore,W,,4-4,,Atlanta Falcons,27,13,17,348,147,201,1,20,292,265,27,4,7.36,12.35,-5.26,Falcons,retractable roof (closed),grass,Arizona Cardinals -3.0,44.5,(under),20,17,14-27-0,30-201-1,34-61-301-1-4,13-18-172-2-1,4-36,3-25,265,147,292,348,0-0,1-0,4,1,10-55,8-52,8-20,3-10,1-2,0-0,34:19,25:41,54,83,27,83,54,27
2013,crd,Arizona Cardinals,10,Sun,/boxscores/201311100crd.htm,4:25PM ET,boxscore,W,,5-4,,Houston Texans,27,24,19,332,235,97,3,17,235,159,76,1,-5.28,14.42,-3.52,Texans,retractable roof (closed),grass,Arizona Cardinals -3.5,41.5,(over),17,19,21-76-0,29-97-0,22-43-201-3-0,20-32-241-2-1,3-42,1-6,159,235,235,332,1-1,2-2,1,3,7-53,5-29,6-16,3-10,0-1,0-0,28:52,31:08,66,68,33,68,66,33
2013,crd,Arizona Cardinals,11,Sun,/boxscores/201311170jax.htm,1:04PM ET,boxscore,W,,6-4,@,Jacksonville Jaguars,27,14,19,416,402,14,,14,274,242,32,2,4.73,12.18,-1.59,Jaguars,outdoors,grass,Arizona Cardinals -9.0,40.5,(over),19,14,24-14-1,16-32-1,30-42-419-2-0,27-42-255-1-2,3-17,2-13,402,242,416,274,1-0,0-0,0,2,5-42,6-40,5-16,2-14,0-0,2-3,35:53,24:07,61,69,34,69,61,34
2013,crd,Arizona Cardinals,12,Sun,/boxscores/201311240crd.htm,4:05PM ET,boxscore,W,,7-4,,Indianapolis Colts,40,11,27,410,290,120,,15,239,159,80,1,19.09,10.21,-2.69,Colts (deferred),retractable roof (closed),grass,Arizona Cardinals -3.0,44.5,(over),15,27,15-80-0,30-120-1,20-39-163-1-1,26-38-314-2-0,1-4,3-24,159,290,239,410,0-0,1-0,1,0,6-89,9-84,5-13,7-14,0-2,0-0,23:11,36:49,75,60,28,60,75,28
2013,crd,Arizona Cardinals,13,Sun,/boxscores/201312010phi.htm,1:02PM ET,boxscore,L,,7-5,@,Philadelphia Eagles,21,24,24,350,260,90,3,23,307,202,105,,-0.19,-3.20,-2.87,Eagles (deferred),outdoors,grass,Philadelphia Eagles -3.5,48.0,(under),24,23,22-90-0,34-105-0,24-41-302-3-2,21-34-237-3-0,5-42,5-35,260,202,350,307,2-1,2-0,3,0,6-55,5-48,4-12,5-16,1-2,1-1,30:39,29:21,77,71,28,71,77,28
2013,crd,Arizona Cardinals,14,Sun,/boxscores/201312080crd.htm,4:25PM ET,boxscore,W,,8-5,,St. Louis Rams,30,10,25,369,262,107,1,14,257,157,100,2,12.25,11.17,-7.07,Cardinals,retractable roof (closed),grass,Arizona Cardinals -4.5,41.0,(under),14,25,19-100-1,32-107-2,16-27-181-0-2,27-32-269-1-0,4-24,1-7,157,262,257,369,1-0,1-1,2,1,11-90,6-31,3-11,8-14,0-1,0-0,24:53,35:07,68,54,26,54,68,26
2013,crd,Arizona Cardinals,15,Sun,/boxscores/201312150oti.htm,4:27PM ET,boxscore,W,OT,9-5,@,Tennessee Titans,37,34,24,360,215,145,,32,460,394,66,3,10.34,-13.67,6.04,Titans (deferred),outdoors,grass,Arizona Cardinals -3.0,43.0,(over),24,32,36-145-2,19-66-0,20-30-231-1-0,36-58-402-4-2,2-16,3-8,215,394,360,460,1-0,3-1,0,3,9-69,3-16,6-12,7-14,0-0,0-0,30:58,33:44,86,68,36,68,86,36
2013,crd,Arizona Cardinals,16,Sun,/boxscores/201312220sea.htm,4:06PM ET,boxscore,W,,10-5,@,Seattle Seahawks,17,10,16,307,168,139,4,10,192,89,103,2,-13.00,14.76,5.44,Seahawks (deferred),outdoors,fieldturf,Seattle Seahawks -9.0,42.5,(under),16,10,43-139-0,20-103-0,13-25-178-1-4,11-27-108-1-1,2-10,4-19,168,89,307,192,0-0,2-1,4,2,7-46,9-102,6-19,2-13,0-0,0-0,37:24,22:36,52,75,29,75,52,29
2013,crd,Arizona Cardinals,17,Sun,/boxscores/201312290crd.htm,4:25PM ET,boxscore,L,,10-6,,San Francisco 49ers,20,23,19,482,399,83,2,19,375,292,83,,5.55,-3.12,-5.89,49ers (deferred),retractable roof (closed),grass,Arizona Cardinals -3.0,41.0,(over),19,19,23-83-0,22-83-0,21-34-310-2-0,28-49-407-2-1,2-18,1-8,292,399,375,482,0-0,1-1,0,2,4-20,3-30,3-13,4-15,0-1,3-4,27:40,32:20,73,59,31,59,73,31
