,base_estimator__criterion,base_estimator__max_depth,base_estimator__max_features,learning_rate,loss,n_estimators,random_state,0
78,squared_error,15,log2,0.0001,linear,1950,88,-13.635096849998003
79,squared_error,15,log2,0.0001,linear,1975,88,-13.63356467510568
80,squared_error,15,log2,0.001,linear,1600,88,-13.6376084909322
81,squared_error,15,log2,0.001,linear,1625,88,-13.636487633247066
82,squared_error,15,log2,0.001,linear,1650,88,-13.637074177633409
83,squared_error,15,log2,0.001,linear,1675,88,-13.63650870699125
84,squared_error,15,log2,0.001,linear,1700,88,-13.635279415521705
85,squared_error,15,log2,0.001,linear,1725,88,-13.637414352777304
86,squared_error,15,log2,0.001,linear,1750,88,-13.638322815929246
87,squared_error,15,log2,0.001,linear,1775,88,-13.637891580091196
88,squared_error,15,log2,0.001,linear,1800,88,-13.635595174237034
89,squared_error,15,log2,0.001,linear,1825,88,-13.636996075633684
90,squared_error,15,log2,0.001,linear,1850,88,-13.63541741604568
91,squared_error,15,log2,0.001,linear,1875,88,-13.636921115979652
92,squared_error,15,log2,0.001,linear,1900,88,-13.637501569682849
93,squared_error,15,log2,0.001,linear,1925,88,-13.63797005142842
94,squared_error,15,log2,0.001,linear,1950,88,-13.638691445582811
95,squared_error,15,log2,0.001,linear,1975,88,-13.638528485016195
